List,EPIC,Name,,
iii,III,3i Group Plc,,
adn,ADN,Aberdeen Asset Management,,
adm,ADM,Admiral Group,,
aal,AAL,Anglo American,,
anto,ANTO,Antofagasta Holdings,,
arm,ARM,ARM Holdings plc,,
aht,AHT,Ashtead Group plc,,
abf,ABF,Associated British Foods plc,,
azn,AZN,AstraZeneca plc,,
av.,AV.,Aviva plc,,
bab,BAB,Babcock International Group,,
ba.,BA.,BAE Systems plc,,
barc,BARC,Barclays plc,,
bdev,BDEV,Barratt Developments plc,,
bg.,BG.,BG Group plc,,
blt,BLT,BHP Billiton plc,,
bp.,BP.,BP Plc,,
bats,BATS,British American Tobacco plc,,
blnd,BLND,British Land Co plc,,
bt.a,BT.A,BT Group plc,,
bnzl,BNZL,Bunzl plc,,
brby,BRBY,Burberry Group plc,,t'
cpi,CPI,Capita plc,,
ccl,CCL,Carnival plc,,
cna,CNA,Centrica plc,,
cch,CCH,Coca-Cola HBC AG,,
cpg,CPG,Compass Group plc,,
crh,CRH,CRH plc,,
dge,DGE,Diageo plc,,
dlg,DLG,Direct Line Insurance Group plc,,
dc.,DC.,Dixons Carphone plc,,
ezj,EZJ,easyJet plc,,
expn,EXPN,Experian Plc,,
fres,FRES,Fresnillo,,
gfs,GFS,G4S Plc,,
gkn,GKN,GKN plc,,
gsk,GSK,GlaxoSmithKline plc,,
glen,GLEN,Glencore plc,,
hmso,HMSO,Hammerson,,
hl.,HL.,Hargreaves Lansdown plc,,
hik,HIK,Hikma Pharmaceuticals,,
hsba,HSBA,HSBC Holdings plc,,
imt,IMT,Imperial Tobacco Group,,
isat,ISAT,Inmarsat Plc,,
ihg,IHG,InterContinental Hotels Group plc,,
iag,IAG,International Consolidated Airlines Group SA,,
itrk,ITRK,Intertek Group plc,,
intu,INTU,Intu Properties plc,,
itv,ITV,ITV plc,,
jmat,JMAT,Johnson Matthey Plc,,
kgf,KGF,Kingfisher,,
land,LAND,Land Securities Group plc,,
lgen,LGEN,Legal & General Group plc,,
lloy,LLOY,Lloyds Banking Group plc,,
lse,LSE,London Stock Exchange Group plc,,
mks,MKS,Marks & Spencer Group plc,,
mggt,MGGT,Meggitt,,
merl,MERL,Merlin Entertainments plc,,
mndi,MNDI,Mondi Plc,,
mrw,MRW,Morrison (Wm) Supermarkets,,
ng.,NG.,National Grid,,
nxt,NXT,Next plc,,
oml,OML,Old Mutual Plc,,
pson,PSON,Pearson plc,,
psn,PSN,Persimmon plc,,
pru,PRU,Prudential plc,,
rrs,RRS,Randgold Resources,,
rb.,RB.,Reckitt Benckiser Group Plc,,
rel,REL,RELX plc,,
rio,RIO,Rio Tinto plc,,
rr.,RR.,Rolls Royce Holdings Plc,,
rbs,RBS,Royal Bank of Scotland Group plc,,
rdsa,RDSA,Royal Dutch Shell Plc A Shares,,
rdsb,RDSB,Royal Dutch Shell Plc B Shares,,
rmg,RMG,Royal Mail PLC,,
rsa,RSA,RSA Insurance Group,,
sab,SAB,SABMiller plc,,
sge,SGE,Sage Group plc,,
sbry,SBRY,Sainsbury (J) plc,,
sdr,SDR,Schroders plc,,
svt,SVT,Severn Trent Plc,,
shp,SHP,Shire plc,,
sky,SKY,Sky plc,,
sn.,SN.,Smith & Nephew plc,,
smin,SMIN,Smiths Group Plc,,
spd,SPD,Sports Direct Intl Plc,,
sse,SSE,SSE plc,,
stj,STJ,St James's Place Plc,,
stan,STAN,Standard Chartered plc,,
sl.,SL.,Standard Life plc,,
tw.,TW.,Taylor Wimpey plc,,
tsco,TSCO,Tesco plc,,
tpk,TPK,Travis Perkins plc,,
tui,TUI,TUI AG,,
ulvr,ULVR,Unilever plc,,
uu.,UU.,United Utilities Group Plc,,
vod,VOD,Vodafone Group plc,,
weir,WEIR,Weir Group plc,,
wtb,WTB,Whitbread plc,,
wos,WOS,Wolseley plc,,
wpp,WPP,WPP plc,,
